location_name,location_region,location_country,location_lat,location_lon,location_tz_id,location_localtime_epoch,location_localtime,hour_time_epoch,hour_time,hour_temp_c,hour_temp_f,hour_is_day,hour_condition_text,hour_condition_icon,hour_condition_code,hour_wind_mph,hour_wind_kph,hour_wind_degree,hour_wind_dir,hour_pressure_mb,hour_pressure_in,hour_precip_mm,hour_precip_in,hour_snow_cm,hour_humidity,hour_cloud,hour_feelslike_c,hour_feelslike_f,hour_windchill_c,hour_windchill_f,hour_heatindex_c,hour_heatindex_f,hour_dewpoint_c,hour_dewpoint_f,hour_will_it_rain,hour_chance_of_rain,hour_will_it_snow,hour_chance_of_snow,hour_vis_km,hour_vis_miles,hour_gust_mph,hour_gust_kph,hour_uv,hour_short_rad,hour_diff_rad,hour_dni,hour_gti,hour_aqi_co,hour_aqi_no2,hour_aqi_o3,hour_aqi_so2,hour_aqi_pm2_5,hour_aqi_pm10,hour_aqi_us_epa_index,hour_aqi_gb_defra_index
Bangalore,Karnataka,India,12.9833,77.5833,Asia/Kolkata,1780755532,2026-06-06 19:48,1780684200,2026-06-06 00:00,22.2,71.9,0,Overcast,//cdn.weatherapi.com/weather/64x64/night/122.png,1009,10.1,16.2,240,WSW,1010.0,29.81,0.0,0.0,0.0,83,100,24.6,76.3,22.2,71.9,24.6,76.3,19.1,66.4,0,21,0,0,10.0,6.0,13.8,22.3,0.0,0.0,0.0,0.0,0.0,297.0,14.4,32.0,5.2,5.1,5.6,1.0,1.0
Bangalore,Karnataka,India,12.9833,77.5833,Asia/Kolkata,1780755532,2026-06-06 19:48,1780687800,2026-06-06 01:00,22.0,71.6,0,Overcast,//cdn.weatherapi.com/weather/64x64/night/122.png,1009,10.7,17.3,249,WSW,1009.0,29.81,0.0,0.0,0.0,83,100,24.5,76.1,22.0,71.6,24.5,76.1,19.0,66.2,0,22,0,0,10.0,6.0,14.6,23.4,0.0,0.0,0.0,0.0,0.0,232.0,11.9,33.0,4.8,4.4,4.9,1.0,1.0
Bangalore,Karnataka,India,12.9833,77.5833,Asia/Kolkata,1780755532,2026-06-06 19:48,1780691400,2026-06-06 02:00,21.9,71.4,0,Partly Cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003,11.0,17.6,247,WSW,1009.0,29.8,0.0,0.0,0.0,83,59,21.9,71.4,21.9,71.4,24.5,76.0,19.0,66.1,0,10,0,0,10.0,6.0,14.7,23.7,0.0,0.0,0.0,0.0,0.0,186.0,10.1,34.0,4.6,4.1,4.6,1.0,1.0
Bangalore,Karnataka,India,12.9833,77.5833,Asia/Kolkata,1780755532,2026-06-06 19:48,1780695000,2026-06-06 03:00,21.6,70.9,0,Partly Cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003,10.7,17.3,246,WSW,1009.0,29.79,0.0,0.0,0.0,84,40,21.6,70.9,21.6,70.9,24.3,75.8,18.8,65.9,0,8,0,0,10.0,6.0,14.7,23.6,0.0,0.0,0.0,0.0,0.0,165.0,9.5,34.0,4.7,4.0,4.4,1.0,1.0
Bangalore,Karnataka,India,12.9833,77.5833,Asia/Kolkata,1780755532,2026-06-06 19:48,1780698600,2026-06-06 04:00,21.3,70.4,0,Overcast,//cdn.weatherapi.com/weather/64x64/night/122.png,1009,11.0,17.6,249,WSW,1009.0,29.81,0.0,0.0,0.0,85,100,21.3,70.4,21.3,70.4,24.3,75.7,18.7,65.6,0,23,0,0,10.0,6.0,15.5,24.9,0.0,0.0,0.0,0.0,0.0,162.0,9.7,33.0,4.9,3.9,4.4,1.0,1.0
Bangalore,Karnataka,India,12.9833,77.5833,Asia/Kolkata,1780755532,2026-06-06 19:48,1780702200,2026-06-06 05:00,21.2,70.2,0,Partly Cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003,10.5,16.9,250,WSW,1010.0,29.82,0.0,0.0,0.0,85,39,21.2,70.2,21.2,70.2,24.2,75.6,18.7,65.6,0,8,0,0,10.0,6.0,15.1,24.3,0.0,0.0,0.0,0.0,0.0,187.0,9.9,33.0,5.0,4.1,4.5,1.0,1.0
Bangalore,Karnataka,India,12.9833,77.5833,Asia/Kolkata,1780755532,2026-06-06 19:48,1780705800,2026-06-06 06:00,21.4,70.5,1,Partly Cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,1003,10.5,16.9,247,WSW,1010.0,29.84,0.0,0.0,0.0,85,40,21.4,70.5,21.4,70.5,24.3,75.7,18.8,65.9,0,8,0,0,10.0,6.0,14.9,24.0,0.2,16.36,8.34,0.0,8.27,269.0,10.3,34.0,5.0,4.9,5.3,1.0,1.0
Bangalore,Karnataka,India,12.9833,77.5833,Asia/Kolkata,1780755532,2026-06-06 19:48,1780709400,2026-06-06 07:00,22.5,72.5,1,Cloudy,//cdn.weatherapi.com/weather/64x64/day/119.png,1006,13.9,22.3,249,WSW,1011.0,29.85,0.0,0.0,0.0,80,73,24.8,76.6,22.5,72.5,24.8,76.6,18.9,65.9,0,11,0,0,10.0,6.0,17.5,28.2,1.1,100.72,31.57,0.0,31.42,378.0,10.8,36.0,4.9,5.0,5.3,1.0,1.0
Bangalore,Karnataka,India,12.9833,77.5833,Asia/Kolkata,1780755532,2026-06-06 19:48,1780713000,2026-06-06 08:00,24.0,75.2,1,Partly Cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,1003,14.5,23.4,248,WSW,1011.0,29.87,0.0,0.0,0.0,73,37,25.8,78.4,24.0,75.2,25.8,78.4,18.8,65.9,0,4,0,0,10.0,6.0,16.7,26.9,3.2,202.38,55.62,0.0,55.42,436.0,10.4,40.0,4.7,4.0,4.3,1.0,1.0
Bangalore,Karnataka,India,12.9833,77.5833,Asia/Kolkata,1780755532,2026-06-06 19:48,1780716600,2026-06-06 09:00,25.7,78.2,1,Partly Cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,1003,15.0,24.1,249,WSW,1011.0,29.87,0.0,0.0,0.0,65,34,27.1,80.8,25.7,78.2,27.1,80.8,18.7,65.6,0,2,0,0,10.0,6.0,17.2,27.8,6.3,309.49,67.06,0.0,66.99,388.0,8.4,50.0,4.2,3.4,3.7,1.0,1.0
Bangalore,Karnataka,India,12.9833,77.5833,Asia/Kolkata,1780755532,2026-06-06 19:48,1780720200,2026-06-06 10:00,27.1,80.8,1,Partly Cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,1003,15.2,24.5,250,WSW,1011.0,29.85,0.0,0.0,0.0,58,31,28.4,83.1,27.1,80.8,28.4,83.1,18.3,64.9,0,1,0,0,10.0,6.0,17.5,28.2,9.7,409.95,73.42,22914.8,2419.05,288.0,5.5,62.0,3.6,3.0,3.1,1.0,1.0
Bangalore,Karnataka,India,12.9833,77.5833,Asia/Kolkata,1780755532,2026-06-06 19:48,1780723800,2026-06-06 11:00,28.3,83.0,1,Partly Cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,1003,15.9,25.6,252,WSW,1010.0,29.84,0.0,0.0,0.0,53,46,29.5,85.1,28.3,83.0,29.5,85.1,17.9,64.3,0,2,0,0,10.0,6.0,18.3,29.4,12.1,497.33,78.11,1682.82,614.64,222.0,3.4,72.0,3.0,2.7,2.8,1.0,1.0
Bangalore,Karnataka,India,12.9833,77.5833,Asia/Kolkata,1780755532,2026-06-06 19:48,1780727400,2026-06-06 12:00,29.1,84.5,1,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,1063,17.4,28.1,254,WSW,1010.0,29.81,0.01,0.0,0.0,50,79,30.2,86.3,29.1,84.5,30.2,86.3,17.5,63.5,0,4,0,0,10.0,6.0,20.1,32.3,12.4,989.96,108.0,1866.77,1088.72,225.0,2.2,77.0,2.5,2.3,2.4,1.0,1.0
Bangalore,Karnataka,India,12.9833,77.5833,Asia/Kolkata,1780755532,2026-06-06 19:48,1780731000,2026-06-06 13:00,29.5,85.2,1,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,1063,17.0,27.4,253,WSW,1009.0,29.79,0.01,0.0,0.0,47,85,30.4,86.7,29.5,85.2,30.4,86.7,17.1,62.8,0,4,0,0,10.0,6.0,19.6,31.5,10.5,980.46,117.42,1289.1,1029.24,262.0,1.7,80.0,2.1,2.2,2.2,1.0,1.0
Bangalore,Karnataka,India,12.9833,77.5833,Asia/Kolkata,1780755532,2026-06-06 19:48,1780734600,2026-06-06 14:00,29.3,84.8,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,17.7,28.4,250,WSW,1008.0,29.77,0.0,0.0,0.0,48,24,30.2,86.4,29.3,84.8,30.2,86.4,17.1,62.8,0,1,0,0,10.0,6.0,20.3,32.7,7.0,946.12,123.95,994.4,971.72,316.0,2.8,79.0,1.9,2.1,2.2,1.0,1.0
Bangalore,Karnataka,India,12.9833,77.5833,Asia/Kolkata,1780755532,2026-06-06 19:48,1780738200,2026-06-06 15:00,28.2,82.8,1,Partly Cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,1003,20.4,32.8,252,WSW,1008.0,29.78,0.0,0.0,0.0,51,30,29.1,84.4,28.2,82.8,29.1,84.4,17.2,62.9,0,1,0,0,10.0,6.0,23.4,37.7,5.2,889.12,123.92,819.56,903.46,401.0,6.6,72.0,2.2,2.5,2.7,1.0,1.0
Bangalore,Karnataka,India,12.9833,77.5833,Asia/Kolkata,1780755532,2026-06-06 19:48,1780741800,2026-06-06 16:00,26.7,80.1,1,Partly Cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,1003,19.9,32.0,254,WSW,1009.0,29.79,0.0,0.0,0.0,57,32,27.8,82.0,26.7,80.1,27.8,82.0,17.4,63.3,0,1,0,0,10.0,6.0,22.9,36.9,2.3,822.32,116.08,718.58,832.18,502.0,11.9,61.0,2.8,3.0,3.1,1.0,1.0
Bangalore,Karnataka,India,12.9833,77.5833,Asia/Kolkata,1780755532,2026-06-06 19:48,1780745400,2026-06-06 17:00,25.2,77.3,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,18.1,29.2,254,WSW,1009.0,29.8,0.0,0.0,0.0,64,17,26.5,79.7,25.2,77.3,26.5,79.7,17.9,64.1,0,1,0,0,10.0,6.0,20.8,33.6,0.7,740.56,107.21,652.32,750.09,561.0,16.4,51.0,3.4,4.7,4.7,1.0,1.0
Bangalore,Karnataka,India,12.9833,77.5833,Asia/Kolkata,1780755532,2026-06-06 19:48,1780749000,2026-06-06 18:00,24.0,75.3,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,15.7,25.2,252,WSW,1010.0,29.83,0.0,0.0,0.0,69,13,25.7,78.2,24.1,75.3,25.7,78.2,18.0,64.4,0,2,0,0,10.0,6.0,19.7,31.6,0.0,105.2,34.64,78.51,106.55,540.0,19.1,43.0,4.0,6.1,6.1,1.0,1.0
Bangalore,Karnataka,India,12.9833,77.5833,Asia/Kolkata,1780755532,2026-06-06 19:48,1780752600,2026-06-06 19:00,24.4,75.9,0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003,14.1,22.7,248,WSW,1013.0,29.91,0.0,0.0,0.0,78,50,25.3,77.5,23.4,74.2,25.3,77.5,18.1,64.5,0,2,0,0,6.0,3.0,18.3,29.5,0.0,0.0,0.0,0.0,0.0,477.0,20.9,35.0,4.7,6.1,6.3,1.0,1.0
Bangalore,Karnataka,India,12.9833,77.5833,Asia/Kolkata,1780755532,2026-06-06 19:48,1780756200,2026-06-06 20:00,22.8,73.0,0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,14.5,23.4,247,WSW,1012.0,29.87,0.0,0.0,0.0,75,17,24.9,76.8,22.8,73.0,24.9,76.8,18.0,64.5,0,3,0,0,10.0,6.0,19.2,30.9,0.0,0.0,0.0,0.0,0.0,425.0,21.9,30.0,5.1,6.1,6.2,1.0,1.0
Bangalore,Karnataka,India,12.9833,77.5833,Asia/Kolkata,1780755532,2026-06-06 19:48,1780759800,2026-06-06 21:00,22.3,72.2,0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,14.5,23.4,246,WSW,1012.0,29.89,0.0,0.0,0.0,77,22,24.7,76.4,22.3,72.2,24.7,76.4,18.0,64.5,0,4,0,0,10.0,6.0,19.2,30.9,0.0,0.0,0.0,0.0,0.0,412.0,21.9,28.0,5.2,6.2,6.3,1.0,1.0
Bangalore,Karnataka,India,12.9833,77.5833,Asia/Kolkata,1780755532,2026-06-06 19:48,1780763400,2026-06-06 22:00,22.0,71.5,0,Partly Cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003,14.5,23.4,243,WSW,1012.0,29.89,0.0,0.0,0.0,78,26,22.0,71.5,22.0,71.5,24.5,76.1,17.9,64.2,0,4,0,0,10.0,6.0,19.8,31.8,0.0,0.0,0.0,0.0,0.0,410.0,21.1,27.0,5.1,6.4,6.5,1.0,1.0
Bangalore,Karnataka,India,12.9833,77.5833,Asia/Kolkata,1780755532,2026-06-06 19:48,1780767000,2026-06-06 23:00,21.6,70.9,0,Partly Cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003,14.5,23.4,243,WSW,1012.0,29.89,0.0,0.0,0.0,79,33,21.6,70.9,21.6,70.9,24.4,75.9,17.8,64.1,0,5,0,0,10.0,6.0,19.9,32.0,0.0,0.0,0.0,0.0,0.0,392.0,19.9,27.0,4.9,6.0,6.2,1.0,1.0
Bangalore,Karnataka,India,12.9833,77.5833,Asia/Kolkata,1780755532,2026-06-06 19:48,1780770600,2026-06-07 00:00,21.4,70.5,0,Partly Cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003,13.2,21.2,245,WSW,1012.0,29.87,0.0,0.0,0.0,80,35,21.4,70.5,21.4,70.5,24.3,75.8,17.8,64.0,0,6,0,0,10.0,6.0,18.1,29.2,0.0,0.0,0.0,0.0,0.0,337.0,18.2,27.0,4.6,5.6,5.9,1.0,1.0
Bangalore,Karnataka,India,12.9833,77.5833,Asia/Kolkata,1780755532,2026-06-06 19:48,1780774200,2026-06-07 01:00,21.3,70.3,0,Partly Cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003,13.6,22.0,246,WSW,1011.0,29.85,0.0,0.0,0.0,80,33,21.3,70.3,21.3,70.3,24.3,75.8,17.7,63.8,0,5,0,0,10.0,6.0,19.0,30.6,0.0,0.0,0.0,0.0,0.0,266.0,16.1,28.0,4.3,5.5,5.7,1.0,1.0
